IMO/LR/IHS No.;Name of Ship;Aux. Engine Builder;Aux. Engine Design;Aux. Engine Model;Aux. Engine Stroke Type;Aux. Engine Total KW;Breadth;Breadth Extreme;Breadth Moulded;Built;Cabins;Callsign;Class;Country of Build;Deadweight;Delivery Date;Depth;Displacement;DOC Company;DOC Company Code;Docking Survey;Draught;Engine Bore;Engine Builder;Engine Cylinders;Engine Design;Engine Model;Engine Stroke;Engine Stroke Type;Engine Type;Engines Number;Engines RPM;Flag;Fuel Capacity 1;Fuel Capacity 2;Fuel Consumption Main Engines;Fuel Consumption Total;Fuel Type 1;Fuel Type 2;Gas Capacity;Group Owner;Group Owner Code;GT;Keel Laid;Keel To Mast Height;Last Update;Launch Date;Length;MMSI;Operator;Operator Code;Order Date;Propulsion Type;Reefer Points;Registered Owner;Registered Owner Code;RORO Lanes Number;Sale Date;Sale Price (US$);Segregated Ballast Capacity;Service Speed;Ship Type;Ship Type Group;Shipbuilder;Shipbuilder Code;Shipmanager;Shipmanager Code;Status;Technical Manager;Technical Manager Code;TEU;Year
5042871;BERT PRIOR;;;;;;6,81;6,810;0,000;1961-00;0;GJXU;;Netherlands;289;1963-00;0;0;  Unknown;9991001;;2,490;320;Skandiaverken AB - Sweden;2;Skandiaverken;;370;2;Oil;1;;United Kingdom;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Prior Ltd;0707013;175;;0,000;2012-07-20;;32,920;235056698;Prior Ltd;0707013;1959-00;Oil Engine(s), Direct Drive;0;Prior Ltd;0707013;0;;;0;0,00;Aggregates Carrier;;Duijvendijk's Lekker Nv;NTH081312;Prior Ltd;0707013;In Service/Commission;Prior Ltd;0707013;0;1961
5189136;EASTCOAST;;;;;54;9,50;9,560;9,500;1961-00;0;9HXV9;BV;Germany, Federal Republic Of;736;1961-00;5,49;0;Trajekt doo;5018947;20200214;3,645;320;Motoren Werke Mannheim AG (MWM) - West Germany;8;MWM;;480;4;Oil;1;;Malta;85,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Trajekt doo;5018947;836;;0,000;2019-01-03;;67,490;249680000;Trajekt doo;5018947;1958-01;Oil Engine(s), Direct Drive;0;B&B Marine;5075027;0;;;0;12,50;Cement Carrier;;Meyer JL - GFR;GFR029022;Trajekt doo;5018947;In Service/Commission;Trajekt doo;5018947;0;1961
5202524;J. S. ST. JOHN;;;;;;9,76;9,810;9,760;1945-00;0;WDE4111;;United States Of America;968;1945-00;4,58;0;  Unknown;9991001;;4,042;355;Union Diesel Engine Co. - Oakland, Ca;6;;;485;4;Oil;1;;United States Of America;26,50;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Oglebay Norton Co;0383407;415;;0,000;2014-12-01;;53,040;367348910;O-N Minerals Erie Co;0343812;1942-01;Oil Engine(s), Direct Drive;0;O-N Minerals Erie Co;0343812;0;;;0;10,00;Aggregates Carrier;;Smith Pensacola;USA155011;O-N Minerals Erie Co;0343812;In Service/Commission;O-N Minerals Erie Co;0343812;0;1945
5256692;ARENA;;;;;;8,82;8,840;8,820;1960-00;0;;;Germany, Federal Republic Of;721;1960-00;3,92;0;  Unknown;9991001;;3,798;320;Kloeckner-Humboldt-Deutz AG - West Germany;6;Deutz;RV6M545;450;4;Oil;1;380;Unknown;45,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;530;;0,000;2016-05-27;;52,530;;Rptd Sold Undisclosed Interest;9991942;1958-00;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;10,50;Aggregates Carrier;;Hagelstein;GFR077010;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1960
5302893;EDUARDO ANTONIO;;;;;;8,49;8,540;8,490;1959-00;0;DUHD8;;Japan;832;1959-00;4,3;0;  Unknown;9991001;;3,785;290;Hanshin Nainenki Kogyo - Japan;6;Hanshin;DN6;410;4;Oil;1;;Philippines;16,50;0,00;0,00;1,50;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;248;;0,000;2014-12-01;;57,970;;Jarque E;1441813;1957-00;Oil Engine(s), Direct Drive;0;Jarque E;1441813;0;;;0;9,50;Cement Carrier;;Kanawa;JPN012145;Jarque E;1441813;In Service/Commission;Jarque E;1441813;0;1959
5325625;LEVANT ORIENT;;;;;;20,50;20,550;20,500;1962-10;0;H3HH;;Japan;14650;1962-10;11,36;0;  Unknown;9991001;;8,462;680;Sulzer Bros Ltd - Switzerland;6;Sulzer;6RD68;1250;2;Oil;1;149;Panama;0,00;0,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;  Unknown;9991001;10310;1962-03;0,000;2018-04-13;1962-08;154,240;352514000;Transmena SA;5949959;1959-01;Oil Engine(s), Direct Drive;0;Transmena SA;5949959;0;;;0;16,00;Cement Carrier;;Namura Shipbuilding - Osaka;JPN162023;Transmena SA;5949959;In Service/Commission;  Unknown;9991001;0;1962
5329865;VERONICA;;;;;;6,61;6,660;6,610;1914-00;0;LLOO;;Netherlands;152;1914-00;2,95;0;  Unknown;9991001;;2,718;159;Cummins Engine Co Inc - USA;6;Cummins;KTA-19-M;159;4;Oil;1;1800;Norway;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;125;;0,000;2015-01-09;;30,030;257101400;Havfangst AS;0764286;1912-00;Oil Engine(s), Geared Drive;0;Havfangst AS;0764286;0;;;0;0,00;Aggregates Carrier;;Figee;NTH124014;Havfangst AS;0764286;In Service/Commission;Havfangst AS;0764286;0;1914
5345986;TARIK GUNER;;;;;;8,01;8,010;0,000;1909-12;0;TCBT3;;France;908;1909-12;3,87;0;  Unknown;9991001;;3,490;240;"VEB Schwermaschinenbau ""Karl Liebknecht"" (SKL) - Magdeburg";6;S.K.L.;6NVD36-1U;360;4;Oil;1;500;Turkey;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;489;;0,000;2012-07-25;;49,990;271002421;Guner H;1469167;1907-12;Oil Engine(s), Direct Drive;0;Guner H;1469167;0;;;0;0,00;Aggregates Carrier;;France Ateliers & Chantiers;FRA035050;Guner H;1469167;In Service/Commission;Guner H;1469167;0;1909
5353610;HIGHLANDER;;;;;;8,49;8,510;8,490;1957-00;0;DUKA2;;Japan;859;1957-00;4,3;0;  Unknown;9991001;;3,810;350;Hanshin Nainenki Kogyo - Japan;6;Hanshin;Z6WS;500;4;Oil;1;;Philippines;33,50;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;487;;0,000;2012-07-25;;52,860;;Highlander Lighterage;5151180;1955-00;Oil Engine(s), Direct Drive;0;Highlander Lighterage;5151180;0;;;0;10,00;Cement Carrier;;Fukushima;JPN067013;Highlander Lighterage;5151180;In Service/Commission;Highlander Lighterage;5151180;0;1957
5372965;SOLSKAR;;;;;;6,86;6,910;6,860;1946-00;0;SDGO;;Sweden;320;1959-00;0;0;  Unknown;9991001;;2,801;380;Skandiaverken AB - Sweden;6;Skandiaverken;;410;2;Oil;2;;Sweden;3,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;202;;0,000;2012-07-26;;37,770;265611390;Skargardsgrus Rederi;0742211;1944-00;Oil Engine(s), Geared Drive;0;Skargardsgrus Rederi;0742211;0;;;0;7,50;Aggregates Carrier;;Hjalmare;SWD065046;Skargardsgrus Rederi;0742211;In Service/Commission;Skargardsgrus Rederi;0742211;0;1946
5427631;JAMES PRIOR;;;;;;6,81;6,810;0,000;1963-01;0;MHMV;;United Kingdom;300;1963-01;0;0;  Unknown;9991001;;2,591;320;Skandiaverken AB - Sweden;2;Skandiaverken;;370;2;Oil;1;;United Kingdom;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Prior Ltd;0707013;191;;0,000;2012-09-12;;34,070;235052242;Prior Ltd;0707013;1961-01;Oil Engine(s), Direct Drive;0;Prior Ltd;0707013;0;;;0;0,00;Aggregates Carrier;;Pollock Faversham;GBI072018;Prior Ltd;0707013;In Service/Commission;  Unknown;9991001;0;1963
6423436;CAESAR;Caterpillar;Caterpillar;3406B;4;300;16,31;16,360;16,310;1965-03;0;YFTG;KI;Italy;5840;1965-03;7,93;0;Indobaruna Bulk Transport PT;0312982;;6,909;500;SA Ansaldo Stabilimento Meccaniche - Italy;5;B&W;5-50VT2BF-110;1100;2;Oil;1;176;Indonesia;0,00;0,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Indobaruna Bulk Transport PT;0312982;4491;;0,000;2018-10-24;;114,330;;Indobaruna Bulk Transport PT;0312982;1962-01;Oil Engine(s), Direct Drive;0;Sekawan Intiperkasa;1955599;0;;;0;15,00;Cement Carrier;;Ansaldo Livorno;ITL002046;Indobaruna Bulk Transport PT;0312982;In Service/Commission;Indobaruna Bulk Transport PT;0312982;0;1965
6522127;TIEN MING No. 1;;;;;;8,01;8,030;8,010;1965-00;0;BNIQ;;Japan;683;1965-00;4,02;0;  Unknown;9991001;;3,480;270;Kanegafuchi Diesel - Japan;6;Kanegafuchi;;400;4;Oil;1;;Chinese Taipei;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;China Govt;0104538;432;;0,000;2012-07-26;;49,460;;Tien Ming Steamship;0625029;1963-00;Oil Engine(s), Direct Drive;0;Tien Ming Steamship;0625029;0;;;0;9,00;Aggregates Carrier;;Ishikawajima Ship & Chemical;JPN092171;Tien Ming Steamship;0625029;In Service/Commission;Tien Ming Steamship;0625029;0;1965
6522139;TIEN MING No. 2;;;;;;8,01;8,030;8,010;1965-00;0;BNIW;;Japan;683;1965-00;4,02;0;  Unknown;9991001;;2,961;270;Kanegafuchi Diesel - Japan;6;Kanegafuchi;;400;4;Oil;1;;Chinese Taipei;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;China Govt;0104538;432;;0,000;2012-07-26;;45,120;;Tien Ming Steamship;0625029;1963-00;Oil Engine(s), Direct Drive;0;Tien Ming Steamship;0625029;0;;;0;9,00;Aggregates Carrier;;Ishikawajima Ship & Chemical;JPN092171;Tien Ming Steamship;0625029;In Service/Commission;Tien Ming Steamship;0625029;0;1965
6600618;VASTANVIK;;;;;;13,01;13,030;13,010;1966-03;0;SITA;BV;Finland;3282;1966-03;7,6;0;SMT Cement Sp z oo;5563031;20180613;5,773;250;Wartsila Diesel Oy - Finland;12;Nohab;F312V;300;4;Oil;1;825;Sweden;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;2256;;0,000;2018-12-19;;90,200;265191000;Eureka Shipping Ltd;5531976;1963-01;Oil Engine(s), Geared Drive;0;Vestanvik Shipping Ltd;5533147;0;;;0;11,50;Cement Carrier;;Wartsila-Koncernen Crichton-Vu;FIN005025;Eureka Shipping Ltd;5531976;In Service/Commission;SMT Cement Sp z oo;5563031;0;1966
6700743;REINE DES ABERS;;;;;;7,09;0,000;7,090;1966-00;0;;;France;244;1966-00;3,26;0;  Unknown;9991001;;0,000;114;Caterpillar Tractor Co - USA;6;Caterpillar;D333TA;140;4;Oil;1;;Unknown;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;141;;0,000;2010-12-07;;19,740;;Rptd Sold Undisclosed Interest;9991942;1964-00;Oil Engine(s), Geared Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;8,00;Aggregates Carrier;;Entretien;FRA092041;Rptd Sold Undisclosed Interest;9991942;Laid-Up;  Unknown;9991001;0;1966
6721151;LOLA 1;;;;;;9,28;9,330;9,280;1967-07;0;J8XH6;PR;Norway;838;1967-07;5,5;0;Larvik Shipping AS;1302900;;3,506;240;A/S Grenaa Motorfabrik - Denmark;6;Grenaa;6FR24TK;300;4;Oil;1;750;St Vincent & The Grenadines;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Bulk Loaders AS;5136161;624;1966-12;0,000;2018-11-02;;54,970;375219000;Bulk Loaders AS;5136161;1966-03;Oil Engine(s), Geared Drive;0;Lola 1 AS;5250226;0;;;0;0,00;Cement Carrier;;Orens Mekaniske Verksted;NOR073011;Bulk Loaders AS;5136161;In Service/Commission;Larvik Shipping AS;1302900;0;1967
6811152;SAKIS P;;;;;;12,49;12,530;12,490;1968-04;0;XCAR8;;Spain;2497;1968-04;5,9;0;Gremex Shipping SA de CV;1803070;;5,138;390;Naval-Stork-Werkspoor SA - Spain;6;Werkspoor;TMABS396;680;4;Oil;1;288;Mexico;68,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Gremex Shipping SA de CV;1803070;1550;;0,000;2016-05-27;;81,440;345060069;Gremex Shipping SA de CV;1803070;1965-08;Oil Engine(s), Direct Drive;0;Olympos Shipping Management;5871825;0;;;0;11,00;Cement Carrier;;Musel;SPN027019;Gremex Shipping SA de CV;1803070;In Service/Commission;Gremex Shipping SA de CV;1803070;0;1968
6813370;JADRO;;;;;;11,74;11,760;11,740;1968-06;0;9A2107;CS;Germany, Federal Republic Of;1416;1968-00;4,58;0;  Unknown;9991001;;4,331;250;AS Bergens Mek Verksteder - Norway;8;Normo;RTG-8;360;4;Oil;2;;Croatia;58,00;0,00;0,00;4,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;1115;;0,000;2016-05-27;;65,940;238018000;Makar Navis doo;5883669;1965-09;Oil Engine(s), Geared Drive;0;Makar Navis doo;5883669;0;;;0;12,00;Cement Carrier;;Rolandwerft Bremen;GFR039021;Makar Navis doo;5883669;In Service/Commission;  Unknown;9991001;0;1968
6814403;HOSHIN MARU;;;;;;7,60;7,620;7,600;1967-10;0;JI2284;;Japan;356;1967-10;3,18;0;  Unknown;9991001;;2,896;240;Matsue Diesel KK - Japan;6;Yanmar;MF24-HT;420;4;Oil;1;;Japan;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;193;;0,000;2012-08-29;1967-09;31,980;;Kinki Oil System;1389117;1965-10;Oil Engine(s), Direct Drive;0;Kinki Oil System;1389117;0;;;0;0,00;Aggregates Carrier;;Kishimoto Osakikamijima;JPN116019;Kinki Oil System;1389117;In Service/Commission;  Unknown;9991001;0;1967
6815689;BRENDA PRIOR;;;;;;6,86;6,960;6,860;1968-00;0;GYPY;;United Kingdom;279;1968-00;2,9;0;  Unknown;9991001;;2,667;102;Lister Blackstone Marine Ltd. - Dursley;6;Lister;HS6MG;114;4;Oil;2;;United Kingdom;7,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Prior Ltd;0707013;198;;0,000;2011-09-21;;32,310;235052245;Prior Ltd;0707013;1966-00;Oil Engine(s), Geared Drive;0;Prior Ltd;0707013;0;;;0;7,00;Aggregates Carrier;;London & Rochester;GBI149010;Prior Ltd;0707013;In Service/Commission;  Unknown;9991001;0;1968
6816683;SARI PACIFIC;;;;;;16,00;16,020;16,000;1968-06;0;YGVJ;;Japan;6189;1968-06;8,2;0;Andalas Bahtera Baruna;1909263;;6,500;450;Mitsubishi Heavy Industries Ltd - Japan;7;Mitsubishi;7UD45;720;2;Oil;1;;Indonesia;16,50;107,50;0,00;0,00;Distillate Fuel;Residual Fuel;0;Andalas Bahtera Baruna;1909263;3948;;0,000;2016-04-18;;112,990;;Andalas Bahtera Baruna;1909263;1965-01;Oil Engine(s), Direct Drive;0;Andalas Bahtera Baruna;1909263;0;;;0;11,00;Cement Carrier;;Mitsubishi Shimonoseki;JPN421325;Andalas Bahtera Baruna;1909263;Laid-Up;Andalas Bahtera Baruna;1909263;0;1968
6816906;ALEX P;;;;;;12,69;12,730;12,690;1969-08;0;5VHB8;;Spain;2897;1969-08;6,66;0;Gremex Shipping SA de CV;1803070;;5,817;170;Caterpillar Inc - USA;16;Caterpillar;3516TA;190;4;Oil;2;1200;Togo;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;Gremex Shipping SA de CV;1803070;1972;;0,000;2018-10-31;;84,560;671103100;Gremex Shipping SA de CV;1803070;1965-12;Oil Engine(s), Electric Drive;0;Maya Maritime Shipping Corp;5484315;0;;;0;10,00;Cement Carrier;;Bazan - San Fernando;SPN004030;Gremex Shipping SA de CV;1803070;In Service/Commission;Gremex Shipping SA de CV;1803070;0;1969
6825775;PASE JAYA;;;;;;15,00;15,040;15,000;1968-06;0;PMLH;KI;Japan;5076;1968-07;7,6;0;Pasai Jaya PT;5710988;;6,225;460;The Hanshin Diesel Works Ltd - Japan;6;Hanshin;6LU46A;740;4;Oil;1;265;Indonesia;44,00;220,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;  Unknown;9991001;3094;1967-12;0,000;2018-10-30;1968-04;104,430;;Pasai Jaya PT;5710988;1967-08;Oil Engine(s), Direct Drive;0;Pasai Jaya PT;5710988;0;;;0;11,50;Cement Carrier;;Tohoku Shipbuilding Co Ltd;JPN185020;Pasai Jaya PT;5710988;In Service/Commission;Pasai Jaya PT;5710988;0;1968
6905898;SUN YANG;;;;;;15,00;15,040;15,000;1968-12;0;D8SF;;Japan;5044;1968-12;7,6;0;  Unknown;9991001;;6,310;460;Hanshin Nainenki Kogyo - Japan;6;Hanshin;6L46;680;4;Oil;1;265;Korea, South;40,00;260,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Ssangyong Cement Industrial Co;5985599;3327;1968-06;0,000;2018-10-30;1968-10;104,550;;Ssangyong Cement Industrial Co;5985599;1968-03;Oil Engine(s), Direct Drive;0;Ssangyong Cement Industrial Co;5985599;0;;;0;12,25;Cement Carrier;;Tohoku Shipbuilding Co Ltd;JPN185020;Ssangyong Cement Industrial Co;5985599;In Service/Commission;Ssangyong Cement Industrial Co;5985599;0;1968
6916029;MARK PRIOR;;;;;;6,71;6,790;6,710;1969-00;0;MTQM3;;United Kingdom;295;1969-00;2,9;0;  Unknown;9991001;;2,566;165;Bergius Kelvin Co. Ltd. - Glasgow;6;Kelvin;TS6;184;4;Oil;1;;United Kingdom;3,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Prior Ltd;0707013;191;;0,000;2011-09-21;;31,700;235052146;Prior Ltd;0707013;1967-00;Oil Engine(s), Geared Drive;0;Prior Ltd;0707013;0;;;0;6,00;Aggregates Carrier;;Bay Wharf;GBI106017;Prior Ltd;0707013;In Service/Commission;  Unknown;9991001;0;1969
6916201;OCEAN SPARKLE;Daihatsu;Daihatsu;6PST-26D;;400;24,39;24,410;24,390;1969-05;0;PNXC;KI;Japan;18607;1969-00;13,31;0;Sekur Holdings Inc;1853859;;8,378;650;Ube Industries Ltd - Japan;9;Mitsubishi;9UEC65/135C;1350;2;Oil;1;145;Indonesia;170,00;310,00;19,50;24,00;Distillate Fuel;Residual Fuel;0;Bosowa Group;5782799;13475;;0,000;2017-06-08;;161,020;525003089;Bosowa Lloyd PT;1850077;1966-09;Oil Engine(s), Direct Drive;0;Bosowa Lloyd PT;1850077;0;;;0;11,00;Cement Carrier;;Kasado Dockyard Co Ltd;JPN015026;Sekur Holdings Inc;1853859;In Service/Commission;Sekur Holdings Inc;1853859;0;1969
6923321;MEE YANG;;;;;;15,02;15,040;15,020;1969-04;0;D8SQ;;Japan;5638;1969-00;8,39;0;  Unknown;9991001;;6,510;510;Akasaka Tekkosho KK (Akasaka Diesel Ltd) - Japan;6;Akasaka;6DM51SS;840;4;Oil;1;230;Korea, South;45,00;322,00;0,00;0,00;Distillate Fuel;Residual Fuel;0;Ssangyong Cement Industrial Co;5985599;3787;;0,000;2018-07-27;;110,090;;Ssangyong Cement Industrial Co;5985599;1966-04;Oil Engine(s), Direct Drive;0;Ssangyong Cement Industrial Co;5985599;0;;;0;12,00;Cement Carrier;;Nipponkai H.I.;JPN156039;Ssangyong Cement Industrial Co;5985599;In Service/Commission;Ssangyong Cement Industrial Co;5985599;0;1969
6925173;RUDISA GLOBAL;;;;;;15,21;15,270;15,210;1970-09;0;3FEV6;IB;Spain;4899;1970-09;7,7;0;Suriname Shiphandling & Serv;5569088;;6,370;400;Hijos de J Barreras SA - Spain;12;Deutz;RBV12M350;500;4;Oil;1;350;Panama;352,50;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Rudisa Holding NV;5868049;3217;;0,000;2018-08-24;;99,730;356454000;Suriname Shiphandling & Serv;5569088;1967-02;Oil Engine(s), Geared Drive;0;Suriname Shiphandling & Serv;5569088;0;;;0;14,50;Cement Carrier;;Basse-Sambre-Corcho;SPN039021;Suriname Shiphandling & Serv;5569088;In Service/Commission;Suriname Shiphandling & Serv;5569088;0;1970
6925214;DAIGEN MARU;;;;;;8,21;8,230;8,210;1969-00;0;;;Japan;457;1969-00;3,31;0;  Unknown;9991001;;2,896;240;Hanshin Nainenki Kogyo - Japan;6;Hanshin;6L24MS;400;4;Oil;1;;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;199;;0,000;2009-06-07;;36,020;;Rptd Sold Undisclosed Interest;9991942;1967-00;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;0,00;Aggregates Carrier;;Kimura Kure;JPN114019;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1969
6925355;HEIWA MARU No. 1;;;;;;7,60;7,620;7,600;1969-00;0;;;Japan;398;1969-00;3,41;0;  Unknown;9991001;;3,048;270;Matsue Diesel KK - Japan;6;Matsue;;400;4;Oil;1;;Unknown;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;199;;0,000;2017-03-07;;35,490;;Kiyomasa K;1312061;1967-00;Oil Engine(s), Direct Drive;0;Kiyomasa K;1312061;0;;;0;0,00;Aggregates Carrier;;Kishimoto Osakikamijima;JPN116019;Kiyomasa K;1312061;In Service/Commission;  Unknown;9991001;0;1969
6928187;SOO YANG;;;;;;15,00;15,020;15,000;1969-06;0;D8SS;;Japan;5654;1969-00;8,41;0;  Unknown;9991001;;6,503;510;Akasaka Tekkosho KK (Akasaka Diesel Ltd) - Japan;6;Akasaka;6DM51SS;840;4;Oil;1;230;Korea, South;45,00;322,00;0,00;9,50;Distillate Fuel;Residual Fuel;0;Ssangyong Cement Industrial Co;5985599;3787;;0,000;2018-07-27;;110,240;;Ssangyong Cement Industrial Co;5985599;1966-11;Oil Engine(s), Direct Drive;0;Ssangyong Cement Industrial Co;5985599;0;;;0;12,00;Cement Carrier;;Nipponkai H.I.;JPN156039;Ssangyong Cement Industrial Co;5985599;In Service/Commission;Ssangyong Cement Industrial Co;5985599;0;1969
7002318;TORNES;;;;;94;10,57;10,600;10,570;1969-00;0;LFCL;BV;Norway;925;1969-00;5,59;0;  Unknown;9991001;20190731;3,860;200;Krupp MaK Maschinenbau GmbH - Kiel;6;MaK;6M20;300;4;Oil;1;900;Norway;50,00;0,00;0,00;3,50;Distillate Fuel;Not Applicable;0;Molde Sjotransport AS;5316238;839;;0,000;2018-03-29;;61,450;;Torhus Shipping AS;5156526;1966-11;Oil Engine(s), Geared Drive;0;Molde Sjotransport AS;5316238;0;;;0;11,00;Aggregates Carrier;;Orens Mekaniske Verksted;NOR073011;Torhus Shipping AS;5156526;In Service/Commission;Torhus Shipping AS;5156526;0;1969
7006194;JEHANDER 1;SAAB;SCANIA;D12;4;275;8,50;8,620;8,500;1970-01;0;SDPK;LR;Finland;1590;1970-01;4,4;0;Thun Ship Management;1520043;20190320;3,520;127;Saab-Scania AB - Sweden;6;Scania;DI12 M;154;4;Oil;2;1800;Sweden;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;Erik Thun AB;0343874;836;;0,000;2018-11-23;;75,210;265519440;Avatar Logistics AB;6069732;1967-01;Oil Engine(s), Geared Drive;0;Avatar Logistics AB;6069732;0;;;0;7,50;Aggregates Carrier;;Hollming Oy;FIN006011;Avatar Logistics AB;6069732;In Service/Commission;Thun Ship Management;1520043;0;1970
7016589;BANCO;;;;;;8,01;8,180;8,010;1970-00;0;FTGR;BV;France;457;1970-00;3,31;0;  Unknown;9991001;;2,890;150;Societe Surgerienne de Construction Mecaniques - France;6;Poyaud;;180;4;Oil;2;;France;0,00;0,00;0,00;0,00;Yes, But Type Not Known;Not Applicable;0;  Unknown;9991001;269;;0,000;2012-08-06;1969-12;36,380;227006380;Copermer Sarl;5180424;1968-00;Oil Engine(s), Geared Drive;0;Copermer Sarl;5180424;0;;;0;8,00;Aggregates Carrier;;Charente;FRA075045;Copermer Sarl;5180424;In Service/Commission;Copermer Sarl;5180424;0;1970
7016591;HUGO CAMEJO VALDES;;;;;;7,50;7,550;7,500;1970-00;0;;RC;France;504;1975-00;3,26;0;  Unknown;9991001;;2,896;150;Societe des Moteurs Baudouin SA - France;12;Baudouin;;150;4;Oil;1;;Unknown;0,00;0,00;0,00;0,00;Distillate Fuel;Not Applicable;0;  Unknown;9991001;252;;0,000;2016-02-29;;38,280;;Rptd Sold Undisclosed Interest;9991942;1968-00;Oil Engine(s), Direct Drive;0;Rptd Sold Undisclosed Interest;9991942;0;;;0;10,00;Aggregates Carrier;;Socarenam Calais;FRA093041;Rptd Sold Undisclosed Interest;9991942;In Service/Commission;  Unknown;9991001;0;1970
7018422;MAR GRANDE;;;;;;13,90;13,920;13,900;1970-10;0;IMRJ;RI;Germany, Federal Republic Of;4470;1970-00;7,88;0;Nuova Naviservice Srl;5042964;20181001;6,351;250;AS Bergens Mek Verksteder - Norway;8;Normo;LSMC-8;300;4;Oil;2;750;Italy;42,00;245,00;0,00;5,00;Distillate Fuel;Residual Fuel;0;Bruzia di Navigazione Srl;1091905;2876;;0,000;2018-04-20;;95,770;247620000;Bruzia di Navigazione Srl;1091905;1967-11;Oil Engine(s), Geared Drive;0;Bruzia di Navigazione Srl;1091905;0;;;0;12,30;Cement Carrier;;Luerssen;GFR027019;Bruzia di Navigazione Srl;1091905;In Service/Commission;Nuova Naviservice Srl;5042964;0;1970
7024574;DEFENG I;;;;;;26,42;26,470;26,420;1970-08;0;HPNB;;Japan;36790;1970-00;16,82;0;  Unknown;9991001;;11,365;450;Ube Industries Ltd - Japan;9;MaK;9MU552AK;520;4;Oil;2;480;Panama;155,00;1562,00;0,00;51,50;Distillate Fuel;Residual Fuel;0;  Unknown;9991001;22340;;0,000;2018-07-20;;189,000;351777000;Toprich Shipping Ltd;5543585;1967-12;Oil Engine(s), Geared Drive;0;Toprich Shipping Ltd;5543585;0;;;0;15,50;Limestone Carrier;;Kasado Dockyard Co Ltd;JPN015026;Toprich Shipping Ltd;5543585;In Service/Commission;  Unknown;9991001;0;1970
7026390;UNION BULK;;;;;;10,80;10,830;10,800;1970-07;0;DUA2140;;Japan;1593;1970-00;5,41;0;  Unknown;9991001;;4,928;260;Daihatsu Kogyo - Japan;6;Daihatsu;6DSM-26F;320;4;Oil;1;750;Philippines;9,00;35,00;0,00;5,00;Distillate Fuel;Residual Fuel;0;  Unknown;9991001;1089;;0,000;2014-10-10;;65,380;;Isla Cebu Maritime;1308546;1967-07;Oil Engine(s), Geared Drive;0;Isla Cebu Maritime;1308546;0;;;0;10,50;Cement Carrier;;Narasaki Zosen KK;JPN153011;Isla Cebu Maritime;1308546;In Service/Commission;  Unknown;9991001;0;1970
